Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C_Small","C_0805_2012Metric",68.834000,-99.568000,0.000000,bottom
"C2","C_Small","C_0805_2012Metric",68.834000,-137.668000,0.000000,bottom
"C3","C_Small","C_0805_2012Metric",68.834000,-175.768000,0.000000,bottom
"C4","C_Small","C_0805_2012Metric",68.900000,-213.868000,0.000000,bottom
"C5","C_Small","C_0805_2012Metric",187.960000,-99.568000,0.000000,bottom
"C6","C_Small","C_0805_2012Metric",187.960000,-137.668000,0.000000,bottom
"C7","C_Small","C_0805_2012Metric",187.960000,-175.768000,0.000000,bottom
"C8","C_Small","C_0805_2012Metric",187.960000,-213.868000,0.000000,bottom
"C9","C_Small","C_0805_2012Metric",87.818000,-99.568000,0.000000,bottom
"C10","C_Small","C_0805_2012Metric",87.884000,-137.668000,0.000000,bottom
"C11","C_Small","C_0805_2012Metric",87.884000,-175.768000,0.000000,bottom
"C12","C_Small","C_0805_2012Metric",87.884000,-213.868000,0.000000,bottom
"C13","C_Small","C_0805_2012Metric",207.010000,-99.568000,0.000000,bottom
"C14","C_Small","C_0805_2012Metric",207.010000,-137.668000,0.000000,bottom
"C15","C_Small","C_0805_2012Metric",207.076000,-175.768000,0.000000,bottom
"C16","C_Small","C_0805_2012Metric",207.010000,-213.868000,0.000000,bottom
"C17","C_Small","C_0805_2012Metric",106.934000,-99.568000,0.000000,bottom
"C18","C_Small","C_0805_2012Metric",106.934000,-137.668000,0.000000,bottom
"C19","C_Small","C_0805_2012Metric",106.934000,-175.768000,0.000000,bottom
"C20","C_Small","C_0805_2012Metric",106.934000,-213.868000,0.000000,bottom
"C21","C_Small","C_0805_2012Metric",226.060000,-99.568000,0.000000,bottom
"C22","C_Small","C_0805_2012Metric",225.994000,-137.668000,0.000000,bottom
"C23","C_Small","C_0805_2012Metric",226.060000,-175.768000,0.000000,bottom
"C24","C_Small","C_0805_2012Metric",226.060000,-213.868000,0.000000,bottom
"C25","C_Small","C_0805_2012Metric",125.984000,-99.568000,0.000000,bottom
"C26","C_Small","C_0805_2012Metric",125.984000,-137.668000,0.000000,bottom
"C27","C_Small","C_0805_2012Metric",125.984000,-175.768000,0.000000,bottom
"C28","C_Small","C_0805_2012Metric",125.984000,-213.868000,0.000000,bottom
"C29","C_Small","C_0805_2012Metric",245.110000,-99.568000,0.000000,bottom
"C30","C_Small","C_0805_2012Metric",245.110000,-137.668000,0.000000,bottom
"C31","C_Small","C_0805_2012Metric",245.110000,-175.768000,0.000000,bottom
"C32","C_Small","C_0805_2012Metric",245.044000,-213.868000,0.000000,bottom
"C33","C_Small","C_0805_2012Metric",145.288000,-99.568000,0.000000,bottom
"C34","C_Small","C_0805_2012Metric",145.034000,-137.668000,0.000000,bottom
"C35","C_Small","C_0805_2012Metric",145.034000,-175.768000,0.000000,bottom
"C36","C_Small","C_0805_2012Metric",145.034000,-213.868000,0.000000,bottom
"C37","C_Small","C_0805_2012Metric",264.094000,-99.568000,0.000000,bottom
"C38","C_Small","C_0805_2012Metric",264.160000,-137.668000,0.000000,bottom
"C39","C_Small","C_0805_2012Metric",264.094000,-175.768000,0.000000,bottom
"C40","C_Small","C_0805_2012Metric",264.160000,-213.868000,0.000000,bottom
"D1","D_Small_Filled","D_1206_3216Metric",64.262000,-85.000000,0.000000,bottom
"D2","D_Small_Filled","D_1206_3216Metric",64.000000,-123.000000,0.000000,bottom
"D3","D_Small_Filled","D_1206_3216Metric",64.262000,-161.290000,0.000000,bottom
"D4","D_Small_Filled","D_1206_3216Metric",64.262000,-199.390000,0.000000,bottom
"D5","D_Small_Filled","D_1206_3216Metric",183.388000,-85.090000,0.000000,bottom
"D6","D_Small_Filled","D_1206_3216Metric",183.388000,-123.190000,0.000000,bottom
"D7","D_Small_Filled","D_1206_3216Metric",183.388000,-161.290000,0.000000,bottom
"D8","D_Small_Filled","D_1206_3216Metric",183.388000,-199.390000,0.000000,bottom
"D9","D_Small_Filled","D_1206_3216Metric",83.436000,-85.090000,0.000000,bottom
"D10","D_Small_Filled","D_1206_3216Metric",83.312000,-123.190000,0.000000,bottom
"D11","D_Small_Filled","D_1206_3216Metric",83.312000,-161.290000,0.000000,bottom
"D12","D_Small_Filled","D_1206_3216Metric",83.312000,-199.390000,0.000000,bottom
"D13","D_Small_Filled","D_1206_3216Metric",202.438000,-85.090000,0.000000,bottom
"D14","D_Small_Filled","D_1206_3216Metric",202.308000,-123.190000,0.000000,bottom
"D15","D_Small_Filled","D_1206_3216Metric",202.438000,-161.290000,0.000000,bottom
"D16","D_Small_Filled","D_1206_3216Metric",202.438000,-199.390000,0.000000,bottom
"D17","D_Small_Filled","D_1206_3216Metric",102.492000,-85.090000,0.000000,bottom
"D18","D_Small_Filled","D_1206_3216Metric",102.362000,-123.190000,0.000000,bottom
"D19","D_Small_Filled","D_1206_3216Metric",102.362000,-161.290000,0.000000,bottom
"D20","D_Small_Filled","D_1206_3216Metric",102.362000,-199.390000,0.000000,bottom
"D21","D_Small_Filled","D_1206_3216Metric",221.488000,-85.090000,0.000000,bottom
"D22","D_Small_Filled","D_1206_3216Metric",221.488000,-123.190000,0.000000,bottom
"D23","D_Small_Filled","D_1206_3216Metric",221.488000,-161.290000,0.000000,bottom
"D24","D_Small_Filled","D_1206_3216Metric",221.488000,-199.390000,0.000000,bottom
"D25","D_Small_Filled","D_1206_3216Metric",121.412000,-85.090000,0.000000,bottom
"D26","D_Small_Filled","D_1206_3216Metric",121.412000,-123.190000,0.000000,bottom
"D27","D_Small_Filled","D_1206_3216Metric",121.412000,-161.290000,0.000000,bottom
"D28","D_Small_Filled","D_1206_3216Metric",121.412000,-199.390000,0.000000,bottom
"D29","D_Small_Filled","D_1206_3216Metric",240.408000,-85.090000,0.000000,bottom
"D30","D_Small_Filled","D_1206_3216Metric",240.538000,-123.190000,0.000000,bottom
"D31","D_Small_Filled","D_1206_3216Metric",240.538000,-161.290000,0.000000,bottom
"D32","D_Small_Filled","D_1206_3216Metric",240.538000,-199.390000,0.000000,bottom
"D33","D_Small_Filled","D_1206_3216Metric",140.462000,-85.090000,0.000000,bottom
"D34","D_Small_Filled","D_1206_3216Metric",140.462000,-123.190000,0.000000,bottom
"D35","D_Small_Filled","D_1206_3216Metric",140.462000,-161.290000,0.000000,bottom
"D36","D_Small_Filled","D_1206_3216Metric",140.462000,-199.390000,0.000000,bottom
"D37","D_Small_Filled","D_1206_3216Metric",259.458000,-85.090000,0.000000,bottom
"D38","D_Small_Filled","D_1206_3216Metric",259.588000,-123.190000,0.000000,bottom
"D39","D_Small_Filled","D_1206_3216Metric",259.588000,-161.290000,0.000000,bottom
"D40","D_Small_Filled","D_1206_3216Metric",259.588000,-199.390000,0.000000,bottom
"D41","D_Small_Filled","D_1206_3216Metric",114.690000,-69.779000,180.000000,bottom
"R1","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.753000,-67.437000,180.000000,bottom
"R2","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.753000,-69.469000,180.000000,bottom
"R3","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.753000,-71.501000,180.000000,bottom
"R4","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.753000,-73.533000,180.000000,bottom
"R5","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.737000,-75.565000,180.000000,bottom
"R6","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.737000,-77.597000,0.000000,bottom
"R7","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.737000,-79.629000,0.000000,bottom
"R8","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.892000,-81.534000,180.000000,bottom
"R9","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.892000,-79.502000,180.000000,bottom
"R10","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.892000,-77.470000,180.000000,bottom
"R11","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.892000,-75.438000,180.000000,bottom
"R12","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.892000,-73.406000,180.000000,bottom
"R13","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.892000,-71.374000,180.000000,bottom
